Player,G,MP,eFG%,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PTS,Player-additional
Jaylen Brown,20,37.6,.551,.689,1.3,4.4,5.6,3.4,1.1,0.4,3.3,22.7,brownja02
Troy Brown Jr.,12,10.3,.393,,0.3,1.7,2.0,0.9,0.2,0.1,0.0,1.8,browntr01
Jalen Brunson,11,40.3,.530,.912,0.8,4.1,4.9,5.6,1.5,0.1,2.1,27.8,brunsja01
Thomas Bryant,1,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,bryanth01
Jimmy Butler,22,39.7,.500,.806,2.1,4.3,6.5,5.9,1.8,0.6,1.9,26.9,butleji01
Kentavious Caldwell-Pope,20,33.6,.565,.829,0.7,2.6,3.3,1.6,1.3,0.7,0.8,10.6,caldwke01
Vlatko Čančar,5,2.0,.000,,0.0,0.6,0.6,0.2,0.0,0.0,0.0,0.0,cancavl01
Clint Capela,6,25.2,.605,.667,2.5,5.8,8.3,0.5,1.0,0.5,0.7,8.3,capelca01
Jevon Carter,4,12.3,.278,,0.0,1.0,1.0,1.0,0.3,0.0,0.0,1.3,carteje01
Justin Champagnie,4,2.5,.250,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,champju01
Max Christie,9,3.7,.550,.500,0.1,0.7,0.8,0.3,0.0,0.1,0.0,1.4,chrisma02
Nic Claxton,4,29.3,.720,.600,1.3,6.8,8.0,1.5,0.3,1.8,0.8,10.5,claxtni01
Amir Coffey,1,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,coffeam01
John Collins,6,27.3,.525,.833,1.2,3.2,4.3,0.8,0.3,1.0,1.5,11.3,collijo01
Mike Conley,5,36.6,.595,.909,0.4,2.2,2.6,6.4,0.6,0.0,1.4,12.0,conlemi01
Pat Connaughton,4,22.0,.750,.750,1.0,4.0,5.0,1.8,1.0,0.3,0.5,12.0,connapa01
Robert Covington,2,6.0,.000,,0.0,1.0,1.0,1.0,0.0,0.5,0.0,0.0,covinro01
Torrey Craig,11,16.6,.700,.889,0.6,1.6,2.3,0.5,0.5,0.2,0.3,6.5,craigto01
Jae Crowder,4,10.3,.231,.500,0.3,0.8,1.0,0.8,0.5,0.0,0.3,1.8,crowdja01
Seth Curry,3,19.3,.605,.667,0.0,1.0,1.0,2.0,0.0,0.0,0.3,8.3,curryse01
Stephen Curry,13,37.9,.558,.845,0.7,4.5,5.2,6.1,1.0,0.5,3.2,30.5,curryst01
Anthony Davis,16,38.0,.530,.852,2.4,11.7,14.1,2.6,1.4,3.1,2.1,22.6,davisan02
Terence Davis,4,14.5,.550,1.000,0.5,1.8,2.3,1.5,0.3,0.0,0.5,6.0,daviste02
Dewayne Dedmon,1,5.0,.000,,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,dedmode01
Spencer Dinwiddie,4,39.8,.500,.682,0.3,3.0,3.3,6.5,1.3,0.3,3.0,16.5,dinwisp01
Donte DiVincenzo,13,18.1,.492,.667,0.8,2.2,3.0,2.8,0.8,0.2,1.3,5.5,divindo01
PJ Dozier,3,2.0,.667,,0.3,0.3,0.7,0.0,0.0,0.0,0.0,2.7,doziepj01
Goran Dragić,2,3.5,.000,1.000,0.0,0.0,0.0,0.5,0.0,0.0,0.0,2.0,dragigo01
David Duke Jr.,1,5.0,.333,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,dukeda01
Kevin Durant,11,42.4,.516,.917,0.6,8.1,8.7,5.5,0.8,1.4,3.5,29.0,duranke01
Anthony Edwards,5,39.8,.548,.846,0.6,4.4,5.0,5.2,1.8,2.0,1.6,31.6,edwaran01
Kessler Edwards,6,1.2,,,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,edwarke02
Joel Embiid,9,37.3,.448,.905,1.8,8.0,9.8,2.7,0.7,2.8,3.9,23.7,embiijo01
Dorian Finney-Smith,4,25.3,.543,,1.5,3.0,4.5,0.8,0.8,0.5,1.3,6.3,finnedo01
De'Aaron Fox,7,38.6,.488,.756,1.7,3.7,5.4,7.7,2.1,0.6,4.0,27.4,foxde01
Wenyen Gabriel,10,3.7,.400,.667,0.8,0.1,0.9,0.0,0.2,0.3,0.2,1.0,gabriwe01
